equation,feature,pre,post,delta,|delta|,animal,day
dx1/dt,x1 x2,1.0357174758803513,1.4002748369896674,0.364557361109316,0.364557361109316,Animal4,Day3
dx1/dt,x2,3.523048249598139,3.1881166113082737,-0.33493163828986505,0.33493163828986505,Animal4,Day3
dx2/dt,x2 x3,0.8174380797526988,1.0497956067428975,0.23235752699019874,0.23235752699019874,Animal4,Day3
dx3/dt,x2 x3,-1.0052876071137542,-1.2218068479450808,-0.21651924083132656,0.21651924083132656,Animal4,Day3
dx2/dt,x2,-0.18590268580072333,0.0,0.18590268580072333,0.18590268580072333,Animal4,Day3
dx1/dt,x3,-0.9334313697976061,-0.7627802094983309,0.17065116029927518,0.17065116029927518,Animal4,Day3
dx1/dt,x1,-2.123406518122641,-1.9580756869101266,0.16533083121251435,0.16533083121251435,Animal4,Day3
dx1/dt,x2 x3,-0.2735784114013452,-0.4278907060694314,-0.15431229466808621,0.15431229466808621,Animal4,Day3
dx1/dt,x1 x3,0.0,-0.14928857387607147,-0.14928857387607147,0.14928857387607147,Animal4,Day3
dx2/dt,x2^2,0.0,-0.1481120797729159,-0.1481120797729159,0.1481120797729159,Animal4,Day3
dx3/dt,x1,0.9247819998151048,0.7768994644320112,-0.1478825353830936,0.1478825353830936,Animal4,Day3
dx1/dt,x1^2,-0.13742008432738187,-0.27472545797349723,-0.13730537364611536,0.13730537364611536,Animal4,Day3
dx2/dt,x1 x2,-0.6359929610836675,-0.7714963180666007,-0.13550335698293314,0.13550335698293314,Animal4,Day3
dx2/dt,x3,2.7426751021833793,2.6082696065051256,-0.13440549567825366,0.13440549567825366,Animal4,Day3
dx1/dt,x2^2,-0.2753739821415214,-0.17462934542889544,0.10074463671262598,0.10074463671262598,Animal4,Day3
dx3/dt,x1 x2,0.0,0.08467004617927794,0.08467004617927794,0.08467004617927794,Animal4,Day3
dx2/dt,x1^2,0.20726532858990557,0.2801537541010618,0.07288842551115624,0.07288842551115624,Animal4,Day3
dx3/dt,x3,1.8970126104108238,1.9670020057012825,0.06998939529045867,0.06998939529045867,Animal4,Day3
dx3/dt,1,0.3507413714246259,0.4107417396976701,0.06000036827304417,0.06000036827304417,Animal4,Day3
dx1/dt,1,-0.35295046830698285,-0.403635089575305,-0.05068462126832213,0.05068462126832213,Animal4,Day3
dx3/dt,x2,-3.252376326519632,-3.2036015250262335,0.048774801493398634,0.048774801493398634,Animal4,Day3
dx3/dt,x2^2,0.2671784733719844,0.3021975501560691,0.03501907678408467,0.03501907678408467,Animal4,Day3
dx3/dt,x3^2,0.14319078093783885,0.11062876561405796,-0.03256201532378089,0.03256201532378089,Animal4,Day3
dx3/dt,x1 x3,0.25060824486555405,0.2799424196074606,0.029334174741906527,0.029334174741906527,Animal4,Day3
dx2/dt,x1,-2.5604317693215712,-2.589400472393578,-0.02896870307200672,0.02896870307200672,Animal4,Day3
dx1/dt,x3^2,0.1517935356665519,0.17349613879427112,0.02170260312771921,0.02170260312771921,Animal4,Day3
dx3/dt,x1^2,-0.12213629771647765,-0.10126569495082297,0.02087060276565468,0.02087060276565468,Animal4,Day3
dx2/dt,x3^2,-0.26956820328287556,-0.28020294222963976,-0.0106347389467642,0.0106347389467642,Animal4,Day3
dx2/dt,x1 x3,-0.12230042843975862,-0.1140454150109259,0.008255013428832725,0.008255013428832725,Animal4,Day3
