equation,feature,pre,post,delta,|delta|,animal,day
dx3/dt,x2,-2.6934793778871438,-3.918974915136279,-1.2254955372491354,1.2254955372491354,Animal4,Day8
dx1/dt,x2,2.7929345946293913,3.6906831842600996,0.8977485896307082,0.8977485896307082,Animal4,Day8
dx3/dt,x1,0.580625442047138,1.1280647099482537,0.5474392679011157,0.5474392679011157,Animal4,Day8
dx3/dt,x2 x3,-0.6863510537950377,-1.2310050136130601,-0.5446539598180224,0.5446539598180224,Animal4,Day8
dx3/dt,x2^2,0.24119801441378486,0.583110161090404,0.3419121466766192,0.3419121466766192,Animal4,Day8
dx2/dt,x1 x2,-0.6833825824092965,-1.020388041652215,-0.3370054592429186,0.3370054592429186,Animal4,Day8
dx1/dt,x3,-0.8989571545784575,-1.2295553214066952,-0.3305981668282377,0.3305981668282377,Animal4,Day8
dx2/dt,x1,-2.692431612997912,-3.015821017056454,-0.3233894040585419,0.3233894040585419,Animal4,Day8
dx1/dt,x2^2,-0.22907263872932632,-0.47467130679452774,-0.24559866806520142,0.24559866806520142,Animal4,Day8
dx1/dt,x2 x3,-0.24188705558791068,0.0,0.24188705558791068,0.24188705558791068,Animal4,Day8
dx3/dt,x3,1.9493005092883706,2.178862338655144,0.22956182936677338,0.22956182936677338,Animal4,Day8
dx2/dt,x3,2.711087580913843,2.9245090151043724,0.2134214341905296,0.2134214341905296,Animal4,Day8
dx1/dt,x1,-1.7668018485135122,-1.9568941304581544,-0.19009228194464223,0.19009228194464223,Animal4,Day8
dx1/dt,x1 x2,0.9096277225134876,1.0971338502533605,0.18750612773987296,0.18750612773987296,Animal4,Day8
dx2/dt,x1^2,0.2581342490662617,0.41142294259889806,0.15328869353263636,0.15328869353263636,Animal4,Day8
dx2/dt,x2 x3,0.8076707274104533,0.9449095824959289,0.13723885508547562,0.13723885508547562,Animal4,Day8
dx3/dt,x1^2,0.0,-0.11976108353062069,-0.11976108353062069,0.11976108353062069,Animal4,Day8
dx1/dt,x1^2,-0.11278324791030528,0.0,0.11278324791030528,0.11278324791030528,Animal4,Day8
dx1/dt,x1 x3,-0.2096268454524347,-0.31708149449563194,-0.10745464904319724,0.10745464904319724,Animal4,Day8
dx3/dt,x1 x3,0.095867591360098,0.19426390758549433,0.09839631622539634,0.09839631622539634,Animal4,Day8
dx2/dt,x3^2,-0.2782335149920532,-0.37418056572138825,-0.09594705072933507,0.09594705072933507,Animal4,Day8
dx3/dt,x1 x2,0.0,0.07339769833352466,0.07339769833352466,0.07339769833352466,Animal4,Day8
dx2/dt,x2^2,-0.06630463223412703,0.0,0.06630463223412703,0.06630463223412703,Animal4,Day8
dx2/dt,x2,0.0,0.06316330534665993,0.06316330534665993,0.06316330534665993,Animal4,Day8
dx3/dt,1,0.17369646785236434,0.14189497111022698,-0.031801496742137364,0.031801496742137364,Animal4,Day8
dx1/dt,1,-0.17784496630714605,-0.2037794434112802,-0.025934477104134157,0.025934477104134157,Animal4,Day8
dx1/dt,x3^2,0.18317432770834502,0.15806715489770543,-0.025107172810639594,0.025107172810639594,Animal4,Day8
