epoch,fp_index,stability,x1,x2,x3,eig1_re,eig2_re,eig3_re,eig1_im,eig2_im,eig3_im,animal,day
pre,1,unstable,-1.514986436721004,-1.5073932084343298,-1.5204778020836445,-1.162605193824437,-1.162605193824437,1.3076646008477475,0.9577785743805333,-0.9577785743805333,0.0,Animal3,Day9
post,1,unstable,-0.6514856046062406,-0.5431472910715799,-0.6562084153001181,-0.009071936279483717,-0.009071936279483717,0.08604251279315232,3.331935625033526,-3.331935625033526,0.0,Animal3,Day9
post,2,stable,0.8513989328736563,0.7201941561325258,0.822344522971854,-0.07157661728906514,-0.0238584828589037,-0.0238584828589037,0.0,4.089759691310295,-4.089759691310295,Animal3,Day9
