equation,feature,pre,post,delta,|delta|,animal,day
dx3/dt,x3,1.617960241377734,1.8544100712084626,0.2364498298307285,0.2364498298307285,Animal3,Day3
dx1/dt,x1,-1.5899583915698714,-1.7963204212799586,-0.2063620297100872,0.2063620297100872,Animal3,Day3
dx3/dt,1,0.4647004134853112,0.6080638207351458,0.14336340724983454,0.14336340724983454,Animal3,Day3
dx3/dt,x2^2,0.12075346558111782,0.25761776450470214,0.13686429892358432,0.13686429892358432,Animal3,Day3
dx1/dt,x2 x3,-0.3647029275438491,-0.22798019650338586,0.13672273104046323,0.13672273104046323,Animal3,Day3
dx1/dt,x1 x3,0.08451665701063132,0.21647267517459334,0.13195601816396202,0.13195601816396202,Animal3,Day3
dx1/dt,x2^2,-0.09680601716915645,-0.20474389262492917,-0.10793787545577273,0.10793787545577273,Animal3,Day3
dx1/dt,1,-0.4751199640970025,-0.5814283327412516,-0.10630836864424908,0.10630836864424908,Animal3,Day3
dx3/dt,x3^2,-0.11578241276922434,-0.21998680049533556,-0.10420438772611122,0.10420438772611122,Animal3,Day3
dx1/dt,x3^2,0.27064332191764573,0.18006121722948085,-0.09058210468816488,0.09058210468816488,Animal3,Day3
dx3/dt,x1 x2,0.0860139795602844,0.0,-0.0860139795602844,0.0860139795602844,Animal3,Day3
dx2/dt,x1 x3,-0.06772839497995906,-0.14445977192392834,-0.07673137694396928,0.07673137694396928,Animal3,Day3
dx1/dt,x3,-1.0376298905778691,-0.9665701198842537,0.07105977069361546,0.07105977069361546,Animal3,Day3
dx2/dt,x1 x2,-0.32159592042889035,-0.26084254522451117,0.06075337520437918,0.06075337520437918,Animal3,Day3
dx2/dt,x3,2.783634708654247,2.7264193130979892,-0.057215395556257764,0.057215395556257764,Animal3,Day3
dx1/dt,x1^2,-0.055495017251860776,0.0,0.055495017251860776,0.055495017251860776,Animal3,Day3
dx1/dt,x2,3.4003031111530433,3.3480851848307553,-0.052217926322287944,0.052217926322287944,Animal3,Day3
dx2/dt,1,0.05215510035167568,0.0,-0.05215510035167568,0.05215510035167568,Animal3,Day3
dx2/dt,x1,-2.7486816257578472,-2.6985416839843483,0.0501399417734989,0.0501399417734989,Animal3,Day3
dx3/dt,x1 x3,-0.1119011794323153,-0.14162835957377257,-0.02972718014145727,0.02972718014145727,Animal3,Day3
dx2/dt,x2^2,-0.15482460866634412,-0.18160647375843095,-0.026781865092086826,0.026781865092086826,Animal3,Day3
dx2/dt,x1^2,0.11695371634101226,0.1422376783267121,0.02528396198569985,0.02528396198569985,Animal3,Day3
dx3/dt,x2,-3.3810366089655113,-3.4055326660510348,-0.024496057085523493,0.024496057085523493,Animal3,Day3
dx2/dt,x3^2,-0.19174647238715706,-0.16843679812425721,0.023309674262899843,0.023309674262899843,Animal3,Day3
dx3/dt,x1^2,-0.10353603144694672,-0.1235652367017642,-0.02002920525481748,0.02002920525481748,Animal3,Day3
dx3/dt,x2 x3,-0.5053718030197419,-0.5211081858796937,-0.015736382859951714,0.015736382859951714,Animal3,Day3
dx2/dt,x2 x3,0.6224980345157968,0.6327855507581659,0.010287516242369121,0.010287516242369121,Animal3,Day3
dx1/dt,x1 x2,0.7918478131687837,0.7864098693231839,-0.005437943845599813,0.005437943845599813,Animal3,Day3
dx3/dt,x1,0.9840042551115864,0.9871862315650514,0.003181976453464963,0.003181976453464963,Animal3,Day3
