epoch,fp_index,stability,x1,x2,x3,eig1_re,eig2_re,eig3_re,eig1_im,eig2_im,eig3_im,animal,day
pre,1,unstable,-0.35776208098902984,-0.36331288563552183,-0.3621312745648519,-0.0862309550371678,0.04435718141766051,0.04435718141766051,0.0,2.398943585836504,-2.398943585836504,Animal3,Day2
pre,2,unstable,1.844410009668562,1.8842679493644134,1.850956407269772,0.05362209388142082,0.03526941279287188,0.03526941279287188,0.0,3.7876207567005786,-3.7876207567005786,Animal3,Day2
