equation,feature,pre,post,delta,|delta|,animal,day
dx3/dt,x3,2.7855909672629773,1.7535218784212545,-1.0320690888417228,1.0320690888417228,Animal2,Day1
dx1/dt,x1,-2.7220619130892674,-2.051662891164345,0.6703990219249225,0.6703990219249225,Animal2,Day1
dx3/dt,x2,-3.7197973306841923,-3.138090749074361,0.5817065816098315,0.5817065816098315,Animal2,Day1
dx1/dt,x2 x3,-0.7244999384706865,-0.15570061844747166,0.5687993200232149,0.5687993200232149,Animal2,Day1
dx2/dt,x2 x3,1.156418417826213,0.6110340465833892,-0.5453843712428237,0.5453843712428237,Animal2,Day1
dx3/dt,x2 x3,-1.195873875389164,-0.6794743902143595,0.5163994851748045,0.5163994851748045,Animal2,Day1
dx2/dt,x2^2,-0.33567537273062426,0.12273694378886454,0.45841231651948877,0.45841231651948877,Animal2,Day1
dx2/dt,x3,2.4644184725947613,2.8665848344438967,0.40216636184913535,0.40216636184913535,Animal2,Day1
dx2/dt,x1 x3,-0.32195375385798114,0.06419656360349842,0.38615031746147954,0.38615031746147954,Animal2,Day1
dx1/dt,x1 x2,1.2130424267361453,0.8535891188648198,-0.35945330787132546,0.35945330787132546,Animal2,Day1
dx2/dt,x2,0.09694083809066723,-0.23922585635780713,-0.33616669444847436,0.33616669444847436,Animal2,Day1
dx1/dt,x2^2,-0.0838513712429724,-0.41193744477957384,-0.32808607353660146,0.32808607353660146,Animal2,Day1
dx3/dt,x2^2,0.5400923711781253,0.2160830454673242,-0.32400932571080104,0.32400932571080104,Animal2,Day1
dx3/dt,x1 x3,0.3170910756257942,0.062220165343002766,-0.2548709102827914,0.2548709102827914,Animal2,Day1
dx1/dt,1,-0.4221907485664164,-0.18028417010315373,0.2419065784632627,0.2419065784632627,Animal2,Day1
dx1/dt,x1 x3,0.11963189419219275,-0.11534275627533039,-0.23497465046752314,0.23497465046752314,Animal2,Day1
dx3/dt,1,0.41459478192111926,0.1886922505147539,-0.22590253140636535,0.22590253140636535,Animal2,Day1
dx1/dt,x3,-0.9150398107266263,-1.138077691682777,-0.22303788095615074,0.22303788095615074,Animal2,Day1
dx3/dt,x3^2,0.0,0.18078882162331236,0.18078882162331236,0.18078882162331236,Animal2,Day1
dx1/dt,x1^2,-0.2659981520397843,-0.09082989549389082,0.17516825654589346,0.17516825654589346,Animal2,Day1
dx2/dt,x1^2,0.3495900166549516,0.19058263763657388,-0.15900737901837772,0.15900737901837772,Animal2,Day1
dx3/dt,x1^2,-0.21322150671494744,-0.11229337043164839,0.10092813628329905,0.10092813628329905,Animal2,Day1
dx2/dt,x3^2,-0.260078616099277,-0.33507732108781074,-0.07499870498853373,0.07499870498853373,Animal2,Day1
dx3/dt,x1 x2,0.061470402808717337,0.0,-0.061470402808717337,0.061470402808717337,Animal2,Day1
dx2/dt,x1,-2.5593880584478743,-2.61217926700163,-0.05279120855375563,0.05279120855375563,Animal2,Day1
dx3/dt,x1,1.0795665049562109,1.033719251025977,-0.04584725393023392,0.04584725393023392,Animal2,Day1
dx2/dt,x1 x2,-0.5869908634066221,-0.6274347146896835,-0.04044385128306138,0.04044385128306138,Animal2,Day1
dx1/dt,x2,3.4911036404279705,3.529442837837581,0.03833919740961056,0.03833919740961056,Animal2,Day1
dx1/dt,x3^2,0.24923625042276126,0.22658505004414217,-0.02265120037861909,0.02265120037861909,Animal2,Day1
