epoch,fp_index,stability,x1,x2,x3,eig1_re,eig2_re,eig3_re,eig1_im,eig2_im,eig3_im,animal,day
pre,1,unstable,0.7918886657825644,0.7585585561796525,0.7819821098436744,-0.03551078246977734,0.013494110306749796,0.013494110306749796,0.0,4.066661127274862,-4.066661127274862,Animal2,Day2
pre,2,unstable,-0.7275424658901501,-0.674747917718359,-0.7286941208481403,0.042323355649928056,0.1078318444962203,0.1078318444962203,0.0,3.1470053968818337,-3.1470053968818337,Animal2,Day2
pre,3,unstable,8.013430177142318,3.62583681216015,8.995610929883995,-0.61481159630205,-0.61481159630205,1.2700790570432199,2.826639783688808,-2.826639783688808,0.0,Animal2,Day2
post,1,unstable,-1.2597514128550888,-1.126563127782506,-1.2654580443207024,-0.23891506833392556,-0.23891506833392556,0.08407420816321792,2.8343419421688036,-2.8343419421688036,0.0,Animal2,Day2
