equation,feature,pre,post,delta,|delta|,animal,day
dx3/dt,x2,-3.9802160301773184,-3.3135785988487716,0.6666374313285468,0.6666374313285468,Animal2,Day13
dx3/dt,x3,2.762228443947261,2.1039637959815463,-0.6582646479657148,0.6582646479657148,Animal2,Day13
dx1/dt,x1,-2.8399940038796085,-2.2823981409849594,0.5575958628946491,0.5575958628946491,Animal2,Day13
dx1/dt,x2,4.073653249047797,3.5624418173316394,-0.5112114317161573,0.5112114317161573,Animal2,Day13
dx1/dt,x1 x2,0.6560449707259145,0.9620968447265136,0.3060518740005991,0.3060518740005991,Animal2,Day13
dx1/dt,x1 x3,0.17251778923610264,-0.08776541038879837,-0.260283199624901,0.260283199624901,Animal2,Day13
dx3/dt,x2 x3,-0.7001472666783346,-0.9553001875249358,-0.25515292084660124,0.25515292084660124,Animal2,Day13
dx3/dt,x1,1.022673385741315,0.8507067189825543,-0.1719666667587607,0.1719666667587607,Animal2,Day13
dx3/dt,x3^2,0.0,0.16791588040134195,0.16791588040134195,0.16791588040134195,Animal2,Day13
dx2/dt,x1 x2,-0.48914719264663625,-0.655556785721783,-0.16640959307514674,0.16640959307514674,Animal2,Day13
dx2/dt,x2,0.0,-0.150834395058411,-0.150834395058411,0.150834395058411,Animal2,Day13
dx1/dt,x2 x3,-0.36214790054537566,-0.21432769539866217,0.14782020514671348,0.14782020514671348,Animal2,Day13
dx2/dt,x3,2.5637602485104747,2.685402520230484,0.12164227172000919,0.12164227172000919,Animal2,Day13
dx2/dt,x2 x3,0.7096642689536447,0.8242696395089805,0.11460537055533582,0.11460537055533582,Animal2,Day13
dx3/dt,x1 x3,0.1323341814463584,0.2360250710363757,0.10369088959001732,0.10369088959001732,Animal2,Day13
dx2/dt,x2^2,-0.10024256352508913,0.0,0.10024256352508913,0.10024256352508913,Animal2,Day13
dx1/dt,x3,-0.9956521218318176,-0.9010267370541177,0.09462538477769988,0.09462538477769988,Animal2,Day13
dx1/dt,x2^2,-0.2161606743445458,-0.3052312542159569,-0.08907057987141112,0.08907057987141112,Animal2,Day13
dx1/dt,x1^2,-0.056151167663545866,-0.1353430093492884,-0.07919184168574253,0.07919184168574253,Animal2,Day13
dx3/dt,x2^2,0.32659218728601497,0.2505826579593395,-0.07600952932667548,0.07600952932667548,Animal2,Day13
dx2/dt,x3^2,-0.22412298857560664,-0.2897302367226413,-0.06560724814703467,0.06560724814703467,Animal2,Day13
dx3/dt,x1^2,-0.1512250260770637,-0.10232078375649138,0.04890424232057232,0.04890424232057232,Animal2,Day13
dx3/dt,1,0.24793082746119563,0.2016320824522721,-0.04629874500892353,0.04629874500892353,Animal2,Day13
dx2/dt,x1,-2.5746169188776458,-2.534539872805572,0.04007704607207385,0.04007704607207385,Animal2,Day13
dx2/dt,x1 x3,-0.14727537656100134,-0.10749499471616207,0.03978038184483927,0.03978038184483927,Animal2,Day13
dx1/dt,1,-0.2309290493553066,-0.19562955030629914,0.03529949904900745,0.03529949904900745,Animal2,Day13
dx1/dt,x3^2,0.16688923020948304,0.13773427228291543,-0.02915495792656761,0.02915495792656761,Animal2,Day13
dx2/dt,x1^2,0.2402228159983334,0.22199809605234658,-0.018224719945986817,0.018224719945986817,Animal2,Day13
dx3/dt,x1 x2,0.06836767187137292,0.07287174691644645,0.0045040750450735245,0.0045040750450735245,Animal2,Day13
