equation,feature,pre,post,delta,|delta|,animal,day
dx1/dt,x1,-2.1129259208647495,-2.3193796785444722,-0.20645375767972274,0.20645375767972274,Animal2,Day12
dx1/dt,x2,3.3752529726537,3.5645851593809894,0.18933218672728946,0.18933218672728946,Animal2,Day12
dx1/dt,x1^2,-0.1813054759005374,0.0,0.1813054759005374,0.1813054759005374,Animal2,Day12
dx1/dt,x1 x2,1.267699720641531,1.0866023419078277,-0.18109737873370335,0.18109737873370335,Animal2,Day12
dx1/dt,x3,-0.8709735213858404,-0.7151573087742549,0.15581621261158551,0.15581621261158551,Animal2,Day12
dx3/dt,x1 x2,0.0,0.1428019090598938,0.1428019090598938,0.1428019090598938,Animal2,Day12
dx3/dt,x2^2,0.43064761626007986,0.3065826001243238,-0.12406501613575605,0.12406501613575605,Animal2,Day12
dx1/dt,x3^2,0.10374454575312511,0.0,-0.10374454575312511,0.10374454575312511,Animal2,Day12
dx3/dt,x1,0.9235255613663392,0.8202290647148466,-0.10329649665149265,0.10329649665149265,Animal2,Day12
dx2/dt,x1^2,0.32923765143611844,0.22707862648708313,-0.10215902494903531,0.10215902494903531,Animal2,Day12
dx3/dt,x1 x3,0.3051977154276405,0.3863134304167296,0.0811157149890891,0.0811157149890891,Animal2,Day12
dx2/dt,x1,-2.6761060802806504,-2.604591010168212,0.0715150701124383,0.0715150701124383,Animal2,Day12
dx1/dt,x2^2,-0.3759643832753164,-0.3061208520609972,0.06984353121431919,0.06984353121431919,Animal2,Day12
dx1/dt,x1 x3,-0.2524818749355221,-0.18740483772558916,0.06507703720993294,0.06507703720993294,Animal2,Day12
dx1/dt,x2 x3,-0.10650324869275474,-0.16774171769521418,-0.06123846900245944,0.06123846900245944,Animal2,Day12
dx2/dt,x3^2,-0.28566520624250286,-0.226559506313365,0.05910569992913786,0.05910569992913786,Animal2,Day12
dx2/dt,x3,2.6656592784540774,2.607828301740553,-0.05783097671352433,0.05783097671352433,Animal2,Day12
dx2/dt,x1 x2,-0.8950638041669126,-0.8574881301816286,0.03757567398528394,0.03757567398528394,Animal2,Day12
dx1/dt,1,-0.24753855545614606,-0.21526978076305206,0.032268774693094,0.032268774693094,Animal2,Day12
dx3/dt,x3^2,0.09455473531823451,0.06943169955471734,-0.025123035763517168,0.025123035763517168,Animal2,Day12
dx3/dt,x2 x3,-1.171524585098814,-1.1954950058014513,-0.02397042070263722,0.02397042070263722,Animal2,Day12
dx3/dt,x2,-3.4228933679088596,-3.4433248794683387,-0.020431511559479087,0.020431511559479087,Animal2,Day12
dx3/dt,x3,2.1278125523253713,2.1417965097042964,0.013983957378925105,0.013983957378925105,Animal2,Day12
dx2/dt,x2 x3,0.8447165050915939,0.8573673599413588,0.012650854849764914,0.012650854849764914,Animal2,Day12
dx3/dt,1,0.25971142491454174,0.24768456993470633,-0.01202685497983541,0.01202685497983541,Animal2,Day12
dx3/dt,x1^2,-0.10610660502102533,-0.100527416441641,0.005579188579384331,0.005579188579384331,Animal2,Day12
