equation,feature,pre,post,delta,|delta|,animal,day
dx2/dt,x2,-0.26723823597292523,0.0,0.26723823597292523,0.26723823597292523,Animal2,Day11
dx3/dt,x1 x3,0.08633109306018429,0.31897250413166167,0.2326414110714774,0.2326414110714774,Animal2,Day11
dx2/dt,x1,-2.4830037899395756,-2.7108177596981373,-0.22781396975856172,0.22781396975856172,Animal2,Day11
dx3/dt,x2 x3,-0.8764041661993327,-1.0674015511879165,-0.19099738498858376,0.19099738498858376,Animal2,Day11
dx3/dt,x2,-3.261044754205522,-3.4290850227263627,-0.16804026852084064,0.16804026852084064,Animal2,Day11
dx2/dt,x2 x3,0.7884516118218045,0.9539509645094385,0.16549935268763405,0.16549935268763405,Animal2,Day11
dx1/dt,x1,-2.307926072411932,-2.1539427113798166,0.15398336103211552,0.15398336103211552,Animal2,Day11
dx2/dt,x2^2,0.08000994830579257,-0.0684446242721155,-0.14845457257790806,0.14845457257790806,Animal2,Day11
dx1/dt,x2,3.6720090646643277,3.5363434741373223,-0.13566559052700544,0.13566559052700544,Animal2,Day11
dx3/dt,x3^2,0.22967079531387397,0.09668799217700107,-0.13298280313687288,0.13298280313687288,Animal2,Day11
dx1/dt,x2^2,-0.46467767773931107,-0.35009854635942783,0.11457913137988324,0.11457913137988324,Animal2,Day11
dx2/dt,x1^2,0.21433051727799077,0.31957103306997864,0.10524051579198787,0.10524051579198787,Animal2,Day11
dx1/dt,x2 x3,-0.17628401206018032,-0.27731800269781137,-0.10103399063763105,0.10103399063763105,Animal2,Day11
dx3/dt,x3,1.9861212991384856,2.0847724378326085,0.0986511386941229,0.0986511386941229,Animal2,Day11
dx2/dt,x1 x3,0.0,-0.08329712960255399,-0.08329712960255399,0.08329712960255399,Animal2,Day11
dx3/dt,x1 x2,0.0,0.0808646136334069,0.0808646136334069,0.0808646136334069,Animal2,Day11
dx3/dt,x1^2,-0.059958582599459936,-0.1402741505081804,-0.08031556790872046,0.08031556790872046,Animal2,Day11
dx3/dt,1,0.15465779584478695,0.23069831266888463,0.07604051682409768,0.07604051682409768,Animal2,Day11
dx1/dt,x3,-1.0183685885135894,-0.947950042462843,0.07041854605074638,0.07041854605074638,Animal2,Day11
dx3/dt,x2^2,0.27464313101181637,0.34432408610538545,0.06968095509356909,0.06968095509356909,Animal2,Day11
dx2/dt,x1 x2,-0.7248116519076027,-0.7877036385808454,-0.0628919866732427,0.0628919866732427,Animal2,Day11
dx1/dt,x1 x2,1.1387650700478884,1.1888277460075443,0.050062675959655856,0.050062675959655856,Animal2,Day11
dx2/dt,x3,2.762974350976081,2.7196665068821675,-0.04330784409391342,0.04330784409391342,Animal2,Day11
dx1/dt,1,-0.1504047334886427,-0.19186832697923806,-0.04146359349059536,0.04146359349059536,Animal2,Day11
dx3/dt,x1,0.9172996723477533,0.9581211890260763,0.04082151667832301,0.04082151667832301,Animal2,Day11
dx1/dt,x3^2,0.18150735875073615,0.16343788984881558,-0.01806946890192057,0.01806946890192057,Animal2,Day11
dx2/dt,x3^2,-0.33961503439861956,-0.3256790586619947,0.013935975736624862,0.013935975736624862,Animal2,Day11
dx1/dt,x1^2,-0.18404123621647944,-0.1761833064346024,0.007857929781877049,0.007857929781877049,Animal2,Day11
dx1/dt,x1 x3,-0.16951117796553508,-0.17105297474774803,-0.0015417967822129452,0.0015417967822129452,Animal2,Day11
