epoch,fp_index,stability,x1,x2,x3,eig1_re,eig2_re,eig3_re,eig1_im,eig2_im,eig3_im,animal,day
pre,1,unstable,-0.9150142830563811,-0.8622815644774295,-0.9165435060480333,-0.06758611540980985,-0.06758611540980985,0.041568911795669565,3.1045163599375365,-3.1045163599375365,0.0,Animal2,Day10
post,1,stable,-1.3876690500808506,-1.4058145068076842,-1.3891296938647988,-0.011311776865368427,-0.018680063520768023,-0.018680063520768023,0.0,2.2032087156636413,-2.2032087156636413,Animal2,Day10
post,2,unstable,-1.0369119270551834,-0.9820287143392585,-1.038316190759554,-0.028572852181108888,-0.028572852181108888,0.004688841997792804,2.847950672236286,-2.847950672236286,0.0,Animal2,Day10
