epoch,fp_index,stability,x1,x2,x3,eig1_re,eig2_re,eig3_re,eig1_im,eig2_im,eig3_im,animal,day
pre,1,unstable,0.19819516981607288,0.22728113788599377,0.19642915703515282,-0.041963747952616016,0.008974213526599217,0.008974213526599217,0.0,3.502913181834209,-3.502913181834209,Animal5,Day12
pre,2,unstable,-0.7325651748822156,-0.6789481307780381,-0.7338419510879003,0.047267548884109944,0.05812030808429325,0.05812030808429325,0.0,3.001938768529437,-3.001938768529437,Animal5,Day12
post,1,unstable,-1.108883782433141,-1.0873410257158211,-1.1074382331231576,-0.3948485630713761,-0.3948485630713761,0.11312434412591717,3.418918368216891,-3.418918368216891,0.0,Animal5,Day12
post,2,stable,0.6562524241053115,0.5985419953462734,0.6506525050773654,-0.07187531629482469,-0.07187531629482469,-0.027382511608383234,4.266230421525174,-4.266230421525174,0.0,Animal5,Day12
post,3,unstable,2.511509170517348,1.6023310613956676,2.539089080076636,0.05029259311725158,0.08515872903193544,0.08515872903193544,0.0,4.350984943320089,-4.350984943320089,Animal5,Day12
