equation,feature,pre,post,delta,|delta|,animal,day
dx3/dt,x3,2.2938615480553217,1.6220676790645767,-0.671793868990745,0.671793868990745,Animal5,Day12
dx2/dt,x2 x3,0.46102884337514394,1.0543037500186125,0.5932749066434686,0.5932749066434686,Animal5,Day12
dx3/dt,x2 x3,-0.5058384341570015,-1.0561813817104004,-0.550342947553399,0.550342947553399,Animal5,Day12
dx1/dt,x1,-2.290949241058846,-1.7868340129422065,0.5041152281166397,0.5041152281166397,Animal5,Day12
dx1/dt,x1 x2,0.7077395711422496,1.1734031332576311,0.4656635621153815,0.4656635621153815,Animal5,Day12
dx2/dt,x3,2.488440719387812,2.9278094314764056,0.4393687120885934,0.4393687120885934,Animal5,Day12
dx1/dt,x3,-0.7807315844911876,-1.1303792223429248,-0.34964763785173714,0.34964763785173714,Animal5,Day12
dx3/dt,x1,0.7816148237971657,1.0619729874566548,0.28035816365948907,0.28035816365948907,Animal5,Day12
dx2/dt,x3^2,-0.20220763682406998,-0.4754882597353025,-0.27328062291123256,0.27328062291123256,Animal5,Day12
dx2/dt,x1 x2,-0.7423514852698311,-1.0148671989711575,-0.27251571370132643,0.27251571370132643,Animal5,Day12
dx2/dt,x1,-2.468470918888262,-2.7339272743075225,-0.2654563554192606,0.2654563554192606,Animal5,Day12
dx1/dt,x2^2,-0.21462015276403879,-0.4689450412994666,-0.25432488853542784,0.25432488853542784,Animal5,Day12
dx2/dt,x1 x3,0.23962903511142125,0.0,-0.23962903511142125,0.23962903511142125,Animal5,Day12
dx3/dt,x2^2,0.10006188831101592,0.33750413062246704,0.2374422423114511,0.2374422423114511,Animal5,Day12
dx3/dt,x2,-3.253654911267705,-3.032633793115062,0.2210211181526427,0.2210211181526427,Animal5,Day12
dx2/dt,x1^2,0.17405318095405675,0.38380895923803504,0.2097557782839783,0.2097557782839783,Animal5,Day12
dx2/dt,x2,0.0,-0.18366795852136775,-0.18366795852136775,0.18366795852136775,Animal5,Day12
dx1/dt,x1 x3,-0.3491574518927021,-0.19908102068999284,0.15007643120270925,0.15007643120270925,Animal5,Day12
dx1/dt,x3^2,0.12032343594232994,0.2548741770350998,0.13455074109276985,0.13455074109276985,Animal5,Day12
dx3/dt,x1 x3,0.0,0.12828343377480533,0.12828343377480533,0.12828343377480533,Animal5,Day12
dx3/dt,x1^2,-0.09135457511168117,-0.20843886698902564,-0.11708429187734447,0.11708429187734447,Animal5,Day12
dx3/dt,1,0.1413571934679129,0.2561754453802389,0.114818251912326,0.114818251912326,Animal5,Day12
dx1/dt,1,-0.12993556410672,-0.2431525106681253,-0.1132169465614053,0.1132169465614053,Animal5,Day12
dx3/dt,x3^2,0.08667145677659471,0.18562030582632796,0.09894884904973325,0.09894884904973325,Animal5,Day12
dx3/dt,x1 x2,0.22870149515984992,0.13614930082060092,-0.092552194339249,0.092552194339249,Animal5,Day12
dx1/dt,x2 x3,-0.06770388322022249,-0.15614581337970931,-0.08844193015948683,0.08844193015948683,Animal5,Day12
dx1/dt,x1^2,-0.06330860466001269,-0.14198845946002353,-0.07867985480001084,0.07867985480001084,Animal5,Day12
dx1/dt,x2,3.216346151032257,3.270296987709757,0.053950836677500114,0.053950836677500114,Animal5,Day12
dx2/dt,x2^2,0.09544095208314216,0.06459009295191423,-0.030850859131227926,0.030850859131227926,Animal5,Day12
