equation,feature,pre,post,delta,|delta|,animal,day
dx3/dt,x3,1.3605087874055688,1.9954826034211057,0.6349738160155369,0.6349738160155369,Animal6,Day11
dx3/dt,x2,-2.6618606539816376,-3.271700210071028,-0.6098395560893906,0.6098395560893906,Animal6,Day11
dx1/dt,x1,-1.28182797980486,-1.835423989613939,-0.5535960098090791,0.5535960098090791,Animal6,Day11
dx1/dt,x2,2.506605934952183,2.8893030865788636,0.3826971516266804,0.3826971516266804,Animal6,Day11
dx2/dt,x2 x3,0.34569021109364617,0.0,-0.34569021109364617,0.34569021109364617,Animal6,Day11
dx2/dt,x1 x2,-0.33690213246280876,0.0,0.33690213246280876,0.33690213246280876,Animal6,Day11
dx1/dt,x1 x2,0.40097723780858224,0.15139827260675834,-0.2495789652018239,0.2495789652018239,Animal6,Day11
dx3/dt,x1 x3,0.32416232138781836,0.09355621038216637,-0.23060611100565198,0.23060611100565198,Animal6,Day11
dx3/dt,x2 x3,-0.40647405233048195,-0.20166896419722605,0.2048050881332559,0.2048050881332559,Animal6,Day11
dx2/dt,x3,2.5897475654695397,2.732329702731226,0.14258213726168645,0.14258213726168645,Animal6,Day11
dx1/dt,x1 x3,-0.1896461594178539,-0.05467220445944904,0.13497395495840486,0.13497395495840486,Animal6,Day11
dx3/dt,x1,0.9018934907420737,1.0138610518355295,0.11196756109345585,0.11196756109345585,Animal6,Day11
dx2/dt,x1^2,0.0989800453914212,0.0,-0.0989800453914212,0.0989800453914212,Animal6,Day11
dx1/dt,x2 x3,-0.08983489102485351,0.0,0.08983489102485351,0.08983489102485351,Animal6,Day11
dx2/dt,x2,0.0746697290354405,0.0,-0.0746697290354405,0.0746697290354405,Animal6,Day11
dx2/dt,x1,-2.6598400099911483,-2.732385912675467,-0.07254590268431871,0.07254590268431871,Animal6,Day11
dx3/dt,x3^2,0.0,0.061569552233868494,0.061569552233868494,0.061569552233868494,Animal6,Day11
dx3/dt,x2^2,0.13964800434531452,0.08005178283479232,-0.0595962215105222,0.0595962215105222,Animal6,Day11
dx3/dt,x1 x2,-0.11744725533462068,-0.06120798197481189,0.056239273359808786,0.056239273359808786,Animal6,Day11
dx2/dt,x3^2,-0.055332831196831314,0.0,0.055332831196831314,0.055332831196831314,Animal6,Day11
dx2/dt,x2^2,-0.05334498541939381,0.0,0.05334498541939381,0.05334498541939381,Animal6,Day11
dx1/dt,x3,-0.8346209514291784,-0.8635012030865219,-0.028880251657343536,0.028880251657343536,Animal6,Day11
dx1/dt,x1^2,-0.07127403999807966,-0.06872247222357056,0.0025515677745091003,0.0025515677745091003,Animal6,Day11
