equation,feature,pre,post,delta,|delta|,animal,day
dx3/dt,x1 x3,0.3349103099064913,0.0,-0.3349103099064913,0.3349103099064913,Animal6,Day9
dx1/dt,x3,-0.5407994440323731,-0.8735882097767919,-0.33278876574441874,0.33278876574441874,Animal6,Day9
dx2/dt,x2 x3,0.811322840262369,0.5110836984991124,-0.3002391417632566,0.3002391417632566,Animal6,Day9
dx3/dt,x1,0.5252757145935714,0.8052669125575369,0.27999119796396554,0.27999119796396554,Animal6,Day9
dx1/dt,x2 x3,-0.15081688923181902,0.1286443935798216,0.2794612828116406,0.2794612828116406,Animal6,Day9
dx3/dt,x3^2,0.0,0.27373674298331463,0.27373674298331463,0.27373674298331463,Animal6,Day9
dx1/dt,1,-0.39610948676748875,-0.1511595885811937,0.24494989818629506,0.24494989818629506,Animal6,Day9
dx3/dt,x2 x3,-1.0418809789428436,-0.7985672121946438,0.24331376674819982,0.24331376674819982,Animal6,Day9
dx3/dt,x3,1.43800331246828,1.1995727237986136,-0.2384305886696665,0.2384305886696665,Animal6,Day9
dx1/dt,x2,2.6117355177252466,2.8358219720640903,0.22408645433884367,0.22408645433884367,Animal6,Day9
dx2/dt,x3,2.4876512714867984,2.7088734700385833,0.22122219855178482,0.22122219855178482,Animal6,Day9
dx1/dt,x2^2,-0.08487199004949016,-0.29994608896200836,-0.21507409891251822,0.21507409891251822,Animal6,Day9
dx1/dt,x1 x2,1.0082417148676925,0.7973432729456942,-0.21089844192199836,0.21089844192199836,Animal6,Day9
dx3/dt,1,0.38994393087274865,0.18245596890715915,-0.2074879619655895,0.2074879619655895,Animal6,Day9
dx2/dt,x1 x3,-0.15246792499125175,0.05440962627770163,0.20687755126895338,0.20687755126895338,Animal6,Day9
dx2/dt,x2^2,0.0,0.1307935867691905,0.1307935867691905,0.1307935867691905,Animal6,Day9
dx2/dt,x1,-2.4229869912685995,-2.540846348635429,-0.11785935736682962,0.11785935736682962,Animal6,Day9
dx2/dt,x3^2,-0.10117723079568781,-0.2043160962782723,-0.10313886548258448,0.10313886548258448,Animal6,Day9
dx2/dt,x1 x2,-0.6830491839636273,-0.5918667856848877,0.09118239827873964,0.09118239827873964,Animal6,Day9
dx2/dt,x2,-0.09219282265988082,-0.16708722716379587,-0.07489440450391505,0.07489440450391505,Animal6,Day9
dx3/dt,x1 x2,0.05798330878431521,0.0,-0.05798330878431521,0.05798330878431521,Animal6,Day9
dx1/dt,x1^2,-0.056373381971713266,-0.1065226657486679,-0.05014928377695463,0.05014928377695463,Animal6,Day9
dx1/dt,x1 x3,-0.1504831363936136,-0.17585325752755382,-0.025370121133940216,0.025370121133940216,Animal6,Day9
dx3/dt,x2,-2.5938989259329754,-2.606119639130368,-0.012220713197392374,0.012220713197392374,Animal6,Day9
dx1/dt,x1,-1.3947451122075976,-1.4048999282863441,-0.010154816078746576,0.010154816078746576,Animal6,Day9
dx3/dt,x2^2,0.12124888422891313,0.11691654483342932,-0.004332339395483803,0.004332339395483803,Animal6,Day9
dx2/dt,x1^2,0.10245423240644086,0.10135440280469259,-0.0010998296017482728,0.0010998296017482728,Animal6,Day9
