equation,feature,pre,post,delta,|delta|,animal,day
dx1/dt,x1 x2,1.0827579421126317,0.3123886728900235,-0.7703692692226082,0.7703692692226082,Animal6,Day3
dx3/dt,x2 x3,-0.9792090292765352,-0.3470992812969374,0.6321097479795978,0.6321097479795978,Animal6,Day3
dx2/dt,x2 x3,0.768627852195424,0.19581413021702773,-0.5728137219783962,0.5728137219783962,Animal6,Day3
dx2/dt,x1 x2,-0.8210557382052383,-0.3988178885946212,0.42223784961061706,0.42223784961061706,Animal6,Day3
dx3/dt,1,0.24919047404793906,0.0,-0.24919047404793906,0.24919047404793906,Animal6,Day3
dx3/dt,x3,1.1025336306030842,1.3398078987436877,0.23727426814060348,0.23727426814060348,Animal6,Day3
dx1/dt,x2^2,-0.3455664607252746,-0.13169160574979863,0.21387485497547595,0.21387485497547595,Animal6,Day3
dx1/dt,1,-0.20076471511391963,0.0,0.20076471511391963,0.20076471511391963,Animal6,Day3
dx3/dt,x2,-2.558540737747471,-2.7050703624775294,-0.14652962473005848,0.14652962473005848,Animal6,Day3
dx2/dt,x3^2,-0.23574399146743558,-0.09063084106592154,0.14511315040151404,0.14511315040151404,Animal6,Day3
dx3/dt,x1 x3,0.1428110205573287,0.0,-0.1428110205573287,0.1428110205573287,Animal6,Day3
dx1/dt,x2 x3,-0.1398405682520354,0.0,0.1398405682520354,0.1398405682520354,Animal6,Day3
dx2/dt,x1,-2.520107913646836,-2.6498345616540675,-0.12972664800723166,0.12972664800723166,Animal6,Day3
dx2/dt,x2,-0.17621788634648405,-0.05736610008194484,0.11885178626453921,0.11885178626453921,Animal6,Day3
dx1/dt,x3,-0.8339382729010217,-0.9502902394586434,-0.1163519665576217,0.1163519665576217,Animal6,Day3
dx2/dt,x1 x3,0.0,0.11243864204231364,0.11243864204231364,0.11243864204231364,Animal6,Day3
dx1/dt,x2,2.8602597615221232,2.757358596834821,-0.10290116468730215,0.10290116468730215,Animal6,Day3
dx2/dt,x1^2,0.15634902546114235,0.058398037723215654,-0.0979509877379267,0.0979509877379267,Animal6,Day3
dx3/dt,x3^2,0.18798741747667674,0.09078800588959597,-0.09719941158708077,0.09719941158708077,Animal6,Day3
dx1/dt,x1^2,-0.08870941305214713,0.0,0.08870941305214713,0.08870941305214713,Animal6,Day3
dx3/dt,x1 x2,0.057475141912947975,0.14369560311634144,0.08622046120339347,0.08622046120339347,Animal6,Day3
dx3/dt,x2^2,0.144936449089977,0.061228224740758494,-0.0837082243492185,0.0837082243492185,Animal6,Day3
dx1/dt,x1 x3,-0.05035306961416276,-0.13143642306371683,-0.08108335344955407,0.08108335344955407,Animal6,Day3
dx3/dt,x1,0.8420173509694222,0.9152037621488534,0.07318641117943114,0.07318641117943114,Animal6,Day3
dx3/dt,x1^2,-0.0726120463299747,0.0,0.0726120463299747,0.0726120463299747,Animal6,Day3
dx1/dt,x3^2,0.06150044929829193,0.0,-0.06150044929829193,0.06150044929829193,Animal6,Day3
dx2/dt,x2^2,0.13381749553169422,0.10263518006210863,-0.031182315469585595,0.031182315469585595,Animal6,Day3
dx1/dt,x1,-1.361275334716783,-1.384399287244058,-0.02312395252727506,0.02312395252727506,Animal6,Day3
dx2/dt,x3,2.680727454385753,2.6897151665745023,0.008987712188749164,0.008987712188749164,Animal6,Day3
