epoch,fp_index,stability,x1,x2,x3,eig1_re,eig2_re,eig3_re,eig1_im,eig2_im,eig3_im,animal,day
pre,1,unstable,0.8653161141400671,0.7296338044835107,0.8639831533731733,0.03979497466264044,0.03979497466264044,-0.0076496125733351485,3.87746461336288,-3.87746461336288,0.0,Animal6,Day11
pre,2,unstable,-6e-323,-5e-323,-6e-323,0.07246784201930229,0.07246784201930229,0.008413606407293193,3.5452664632608593,-3.5452664632608593,0.0,Animal6,Day11
post,1,unstable,-5e-324,-5e-324,-5e-324,-0.026270845500815328,0.09316469388939308,0.09316469388939308,0.0,3.7474229801502013,-3.7474229801502013,Animal6,Day11
