equation,feature,pre,post,delta,|delta|,animal,day
dx1/dt,x1,-1.5246326561197836,-1.0564934845443879,0.46813917157539575,0.46813917157539575,Animal6,Day8
dx1/dt,x2,3.0011599935759525,2.5573325614276277,-0.4438274321483249,0.4438274321483249,Animal6,Day8
dx3/dt,x3,1.5010590492500668,1.1828301605721634,-0.31822888867790344,0.31822888867790344,Animal6,Day8
dx1/dt,x2^2,-0.2718538835874037,0.0,0.2718538835874037,0.2718538835874037,Animal6,Day8
dx2/dt,x2^2,0.09100136248003078,-0.13474681315180556,-0.22574817563183636,0.22574817563183636,Animal6,Day8
dx2/dt,x2,-0.07454945472701324,0.11934349370437669,0.19389294843138993,0.19389294843138993,Animal6,Day8
dx1/dt,x1^2,-0.11914797830699067,-0.3116049813752665,-0.19245700306827582,0.19245700306827582,Animal6,Day8
dx3/dt,x2,-2.9464062736341834,-2.7577369277645745,0.18866934586960893,0.18866934586960893,Animal6,Day8
dx1/dt,x3,-1.2387493945443924,-1.0752988476009204,0.16345054694347194,0.16345054694347194,Animal6,Day8
dx3/dt,x2 x3,-0.3947683003469628,-0.5519807304071193,-0.15721243006015645,0.15721243006015645,Animal6,Day8
dx1/dt,x2 x3,0.0,-0.1491467962985868,-0.1491467962985868,0.1491467962985868,Animal6,Day8
dx3/dt,x1 x2,0.14201140191879538,0.0,-0.14201140191879538,0.14201140191879538,Animal6,Day8
dx2/dt,x2 x3,0.35192229164089944,0.4699573681622565,0.11803507652135703,0.11803507652135703,Animal6,Day8
dx2/dt,x3,2.831327943972222,2.7210972607199895,-0.11023068325223262,0.11023068325223262,Animal6,Day8
dx3/dt,x1 x3,0.0,0.10539065529801551,0.10539065529801551,0.10539065529801551,Animal6,Day8
dx2/dt,x3^2,-0.25565575838928084,-0.1623386733149406,0.09331708507434025,0.09331708507434025,Animal6,Day8
dx1/dt,x1 x2,0.4545259454762154,0.5451314189855072,0.09060547350929182,0.09060547350929182,Animal6,Day8
dx2/dt,x1 x2,-0.4790710577449564,-0.39873912205908085,0.08033193568587554,0.08033193568587554,Animal6,Day8
dx1/dt,x1 x3,-0.14688790592341905,-0.06691793691469375,0.0799699690087253,0.0799699690087253,Animal6,Day8
dx3/dt,x2^2,0.15793145719730206,0.23284621957467141,0.07491476237736935,0.07491476237736935,Animal6,Day8
dx3/dt,x1,1.200918896768102,1.1261796256265306,-0.0747392711415713,0.0747392711415713,Animal6,Day8
dx2/dt,x1 x3,0.07447045228745153,0.0,-0.07447045228745153,0.07447045228745153,Animal6,Day8
dx2/dt,x1,-2.7567366696883115,-2.8235193437265167,-0.06678267403820515,0.06678267403820515,Animal6,Day8
dx1/dt,x3^2,0.1601827190385797,0.10426658324023523,-0.055916135798344466,0.055916135798344466,Animal6,Day8
dx3/dt,x1^2,-0.14970107759554926,-0.10110998652643066,0.0485910910691186,0.0485910910691186,Animal6,Day8
dx2/dt,x1^2,0.2126373729788634,0.2368151195723435,0.0241777465934801,0.0241777465934801,Animal6,Day8
dx3/dt,x3^2,0.1685250388925885,0.19030496342087486,0.021779924528286365,0.021779924528286365,Animal6,Day8
