equation,feature,pre,post,delta,|delta|,animal,day
dx3/dt,x1 x3,0.17893342496449946,0.0,-0.17893342496449946,0.17893342496449946,Animal1,Day7
dx2/dt,x2 x3,0.7737635848362333,0.6084017832430684,-0.16536180159316494,0.16536180159316494,Animal1,Day7
dx1/dt,x1,-1.9715071400433246,-2.110523124362606,-0.13901598431928153,0.13901598431928153,Animal1,Day7
dx3/dt,x3,2.069781305721746,2.203013505953484,0.13323220023173787,0.13323220023173787,Animal1,Day7
dx3/dt,x2,-3.513606823763391,-3.6440593520467313,-0.1304525282833402,0.1304525282833402,Animal1,Day7
dx2/dt,x1^2,0.29911100162136656,0.16994075429719388,-0.12917024732417268,0.12917024732417268,Animal1,Day7
dx1/dt,x2,3.3377928850251264,3.466097673027146,0.1283047880020196,0.1283047880020196,Animal1,Day7
dx1/dt,x2 x3,-0.12046708808451044,0.0,0.12046708808451044,0.12046708808451044,Animal1,Day7
dx1/dt,x3^2,0.10728463488070894,0.0,-0.10728463488070894,0.10728463488070894,Animal1,Day7
dx3/dt,x1^2,-0.10496129107340418,0.0,0.10496129107340418,0.10496129107340418,Animal1,Day7
dx3/dt,x2^2,0.45020288822283094,0.3491254192589445,-0.10107746896388642,0.10107746896388642,Animal1,Day7
dx2/dt,x1,-2.7760800311721545,-2.6833739120657167,0.09270611910643778,0.09270611910643778,Animal1,Day7
dx2/dt,x3^2,-0.24214279409342493,-0.15429270391343503,0.0878500901799899,0.0878500901799899,Animal1,Day7
dx2/dt,x2^2,-0.20162294692308905,-0.12146565971103365,0.0801572872120554,0.0801572872120554,Animal1,Day7
dx2/dt,x1 x2,-0.4668654479268536,-0.3881293059434852,0.07873614198336837,0.07873614198336837,Animal1,Day7
dx2/dt,x2,0.07308810762772633,0.0,-0.07308810762772633,0.07308810762772633,Animal1,Day7
dx3/dt,x1,1.1142835373758895,1.0420149536794943,-0.07226858369639522,0.07226858369639522,Animal1,Day7
dx1/dt,x1^2,-0.3176526486071883,-0.2477876557015879,0.06986499290560039,0.06986499290560039,Animal1,Day7
dx1/dt,x3,-1.0280492836120398,-0.9642029498751741,0.06384633373686577,0.06384633373686577,Animal1,Day7
dx1/dt,1,-0.2221591771358476,-0.2843628489117748,-0.06220367177592723,0.06220367177592723,Animal1,Day7
dx3/dt,1,0.21662869767657408,0.27858404495907246,0.06195534728249838,0.06195534728249838,Animal1,Day7
dx2/dt,x1 x3,-0.162472146853581,-0.11331946294976433,0.04915268390381666,0.04915268390381666,Animal1,Day7
dx1/dt,x1 x2,0.9466307974010101,0.9920080873456638,0.04537728994465373,0.04537728994465373,Animal1,Day7
dx3/dt,x1 x2,-0.14019455036423648,-0.0987324655366985,0.04146208482753798,0.04146208482753798,Animal1,Day7
dx3/dt,x3^2,0.1544501158837117,0.12919626969470366,-0.025253846189008056,0.025253846189008056,Animal1,Day7
dx2/dt,x3,2.7064983552537,2.687233741765538,-0.01926461348816222,0.01926461348816222,Animal1,Day7
dx3/dt,x2 x3,-0.9338203059324011,-0.9146488890488922,0.019171416883508874,0.019171416883508874,Animal1,Day7
dx1/dt,x2^2,-0.202282013116429,-0.21069226920767467,-0.008410256091245683,0.008410256091245683,Animal1,Day7
