epoch,fp_index,stability,x1,x2,x3,eig1_re,eig2_re,eig3_re,eig1_im,eig2_im,eig3_im,animal,day
pre,1,unstable,-0.6274817633150538,-0.5661013542551927,-0.624999102390361,0.01776162207912655,0.07682561201804516,0.07682561201804516,0.0,4.648882672501012,-4.648882672501012,Animal1,Day5
pre,2,stable,2.341182214271261,1.6015432553970936,2.3010444852472185,-0.07640679087080085,-0.030707702936184633,-0.030707702936184633,0.0,3.6827912021164413,-3.6827912021164413,Animal1,Day5
pre,3,unstable,4.302674285525879,1.9367186443039104,4.7447564563418485,-0.30709678709831434,-0.30709678709831434,0.7377431646769802,2.4870415374990253,-2.4870415374990253,0.0,Animal1,Day5
pre,4,unstable,-1.7387514197505174,-1.7641422486398235,-1.742297463079975,-0.024073262857068414,0.15560533260508158,0.15560533260508158,0.0,4.801219395366808,-4.801219395366808,Animal1,Day5
post,1,unstable,-1.3168375377313877,-1.266630172363681,-1.3172831314908344,-0.05378495897371775,0.0999699669754609,0.0999699669754609,0.0,3.53421254187181,-3.53421254187181,Animal1,Day5
post,2,unstable,-0.029459327228262475,0.02581344486549758,-0.02933540771079638,0.004821752266293222,0.004821752266293222,0.02419273550575248,4.224501365120579,-4.224501365120579,0.0,Animal1,Day5
