equation,feature,pre,post,delta,|delta|,animal,day
dx3/dt,x1,0.9671240150996867,1.2061001337547255,0.23897611865503876,0.23897611865503876,Animal1,Day10
dx3/dt,x3,2.272320425046621,2.0657364492702026,-0.20658397577641852,0.20658397577641852,Animal1,Day10
dx1/dt,x3,-0.9052191371344944,-1.0371874296497923,-0.13196829251529785,0.13196829251529785,Animal1,Day10
dx1/dt,x1,-2.1955527533635757,-2.0838840001037258,0.11166875325984993,0.11166875325984993,Animal1,Day10
dx2/dt,x1,-2.6331207570216093,-2.736725429863839,-0.10360467284222974,0.10360467284222974,Animal1,Day10
dx2/dt,x3,2.6370666311558586,2.737974588278275,0.10090795712241629,0.10090795712241629,Animal1,Day10
dx3/dt,x1 x2,-0.17024968970310222,-0.07338916405209375,0.09686052565100847,0.09686052565100847,Animal1,Day10
dx1/dt,x2 x3,0.0,-0.07888419728652464,-0.07888419728652464,0.07888419728652464,Animal1,Day10
dx1/dt,x1 x2,1.2520709258936735,1.1801797426704268,-0.07189118322324672,0.07189118322324672,Animal1,Day10
dx3/dt,x1^2,0.0,-0.06426066219774546,-0.06426066219774546,0.06426066219774546,Animal1,Day10
dx2/dt,x1 x2,-0.49782156237768876,-0.5614828762012204,-0.06366131382353163,0.06366131382353163,Animal1,Day10
dx1/dt,x2^2,-0.3168980590123549,-0.2532861627463353,0.0636118962660196,0.0636118962660196,Animal1,Day10
dx3/dt,x2^2,0.4270770244043572,0.3774366646843672,-0.04964035971998998,0.04964035971998998,Animal1,Day10
dx1/dt,x2,3.4879290927076814,3.443133834738528,-0.04479525796915329,0.04479525796915329,Animal1,Day10
dx2/dt,x2^2,-0.12766947042960078,-0.09052525727744622,0.03714421315215456,0.03714421315215456,Animal1,Day10
dx1/dt,x1^2,-0.3257365229038754,-0.2891236289296124,0.03661289397426298,0.03661289397426298,Animal1,Day10
dx3/dt,x2,-3.5781074994783517,-3.5416239836436256,0.03648351583472609,0.03648351583472609,Animal1,Day10
dx2/dt,x1 x3,-0.12198756340258889,-0.09048644058167907,0.03150112282090982,0.03150112282090982,Animal1,Day10
dx3/dt,x1 x3,0.17160070644575112,0.20278090358172954,0.031180197135978416,0.031180197135978416,Animal1,Day10
dx3/dt,x3^2,0.18136329118991767,0.20057304280667884,0.019209751616761167,0.019209751616761167,Animal1,Day10
dx2/dt,x2 x3,0.7426657938140875,0.7243518978889826,-0.018313895925104906,0.018313895925104906,Animal1,Day10
dx2/dt,x1^2,0.20385429672394562,0.21980754570362598,0.015953248979680368,0.015953248979680368,Animal1,Day10
dx3/dt,x2 x3,-1.1741303072615379,-1.1630801835516755,0.011050123709862358,0.011050123709862358,Animal1,Day10
dx1/dt,1,-0.26558479451261624,-0.25607973241950216,0.00950506209311408,0.00950506209311408,Animal1,Day10
dx3/dt,1,0.27725418353333564,0.2698989553685031,-0.007355228164832528,0.007355228164832528,Animal1,Day10
dx2/dt,x3^2,-0.19182356259589653,-0.19872561110178388,-0.006902048505887354,0.006902048505887354,Animal1,Day10
